,st,st binned,gender,education,income,policy type,vehicle class,customer lifetime value,monthly premium auto,number of open complaints,total claim amount
6241,washington,east,female,bachelor,0.0,personal auto,suv,8034.520139,103.0,0.0,741.6
6242,arizona,central,male,college,0.0,corporate auto,suv,9778.984109,137.0,0.0,986.4
6243,oregon,north west,male,college,10334.0,personal auto,four-door car,7284.262288,64.0,0.0,296.962938
6244,arizona,central,male,high school or below,44025.0,personal auto,two-door car,2728.03759,69.0,0.0,331.2
6245,california,west region,female,bachelor,32397.0,corporate auto,luxury suv,7519.029686,190.0,0.0,334.626758
6246,arizona,central,female,bachelor,24345.0,corporate auto,four-door car,8183.592208,106.0,0.0,637.695945
6247,oregon,north west,male,master,94804.0,personal auto,suv,4583.748377,115.0,4.0,764.592151
6248,oregon,north west,female,college,25370.0,corporate auto,sports car,11638.89947,102.0,0.0,489.6
6249,arizona,central,female,college,0.0,special auto,four-door car,14455.86021,78.0,0.0,561.6
6250,california,west region,male,college,53234.0,personal auto,four-door car,8478.278069,109.0,0.0,1212.988796
6251,arizona,central,male,high school or below,0.0,personal auto,four-door car,3923.265453,108.0,0.0,912.581597
6252,oregon,north west,male,high school or below,0.0,personal auto,four-door car,5201.707743,70.0,0.0,336.0
6253,arizona,central,female,bachelor,0.0,personal auto,suv,3857.947176,121.0,2.0,1032.204305
6254,oregon,north west,male,high school or below,19013.0,corporate auto,four-door car,3649.658983,95.0,0.0,456.0
6255,oregon,north west,female,doctor,0.0,personal auto,four-door car,2652.289648,73.0,0.0,490.690995
6256,arizona,central,female,master,81568.0,personal auto,luxury suv,7583.56435,186.0,0.0,737.442295
6257,oregon,north west,female,high school or below,53223.0,personal auto,four-door car,8535.108303,72.0,0.0,299.788806
6258,arizona,central,male,bachelor,0.0,personal auto,suv,4152.652599,123.0,0.0,885.6
6259,oregon,north west,female,bachelor,59253.0,personal auto,four-door car,7166.343469,89.0,0.0,67.801384
6260,california,west region,female,high school or below,34452.0,personal auto,suv,5048.051359,126.0,0.0,604.8
6261,arizona,central,male,bachelor,40160.0,personal auto,four-door car,4579.605586,118.0,1.0,566.4
6262,oregon,north west,female,college,22571.0,corporate auto,four-door car,4605.036646,63.0,0.0,302.4
6263,oregon,north west,female,high school or below,62365.0,corporate auto,four-door car,4969.529102,62.0,0.0,297.6
6264,california,west region,male,doctor,0.0,personal auto,four-door car,2267.604038,61.0,0.0,292.8
6265,nevada,central,female,bachelor,22220.0,personal auto,sports car,36229.40842,105.0,0.0,22.45383
6266,nevada,central,female,bachelor,76266.0,personal auto,two-door car,8810.89555,110.0,1.0,155.708627
6267,oregon,north west,male,master,0.0,personal auto,sports car,4656.488488,128.0,1.0,1548.310532
6268,oregon,north west,female,bachelor,0.0,personal auto,two-door car,4318.088108,68.0,3.0,230.109964
6269,washington,east,female,bachelor,77552.0,corporate auto,four-door car,5382.752045,68.0,1.0,45.215059
6270,oregon,north west,female,doctor,76474.0,personal auto,four-door car,2953.617963,74.0,2.0,355.2
6271,arizona,central,female,doctor,57664.0,personal auto,suv,8051.56643,100.0,0.0,344.92729
6272,oregon,north west,male,bachelor,82377.0,personal auto,four-door car,6627.148927,83.0,0.0,498.335261
6273,california,west region,female,bachelor,44856.0,corporate auto,four-door car,10148.41973,66.0,1.0,316.8
6274,arizona,central,male,college,0.0,personal auto,four-door car,7628.749434,77.0,0.0,369.6
6275,california,west region,female,bachelor,76731.0,personal auto,four-door car,2582.408525,64.0,0.0,201.455005
6276,nevada,central,female,bachelor,25820.0,personal auto,four-door car,3265.156348,82.0,0.0,393.6
6277,arizona,central,female,college,0.0,personal auto,four-door car,5996.065073,83.0,0.0,398.4
6278,california,west region,female,doctor,92509.0,personal auto,four-door car,5768.830622,71.0,0.0,109.296118
6279,washington,east,female,master,15505.0,personal auto,two-door car,21480.81781,68.0,0.0,383.890867
6280,washington,east,male,master,21979.0,personal auto,two-door car,2891.717971,73.0,0.0,518.686584
6281,arizona,central,male,college,54878.0,personal auto,four-door car,7381.914168,96.0,3.0,204.953947
6282,oregon,north west,male,bachelor,40178.0,special auto,suv,5308.617246,136.0,0.0,652.8
6283,california,west region,female,bachelor,65436.0,personal auto,four-door car,2912.59798,73.0,0.0,40.752864
6284,oregon,north west,female,bachelor,0.0,personal auto,suv,11814.47532,106.0,0.0,763.2
6285,oregon,north west,male,high school or below,0.0,personal auto,four-door car,4726.963307,64.0,0.0,307.2
6286,california,west region,male,doctor,57709.0,corporate auto,suv,5073.282126,125.0,0.0,600.0
6287,washington,east,female,college,21604.0,personal auto,four-door car,3096.511217,79.0,0.0,379.2
6288,oregon,north west,male,bachelor,28422.0,corporate auto,four-door car,7891.584409,68.0,1.0,453.909559
6289,california,west region,female,bachelor,59853.0,special auto,suv,19454.40847,124.0,0.0,570.847354
6290,california,west region,male,college,49078.0,corporate auto,four-door car,22332.43946,97.0,0.0,484.013411
6291,oregon,north west,female,college,51523.0,personal auto,suv,4598.235733,116.0,0.0,738.840818
6292,oregon,north west,male,doctor,0.0,personal auto,suv,8215.388242,110.0,0.0,601.021286
6293,washington,east,female,high school or below,0.0,corporate auto,four-door car,4903.152748,66.0,1.0,475.2
6294,arizona,central,female,college,32989.0,personal auto,suv,24186.88247,102.0,0.0,489.6
6295,oregon,north west,male,college,0.0,personal auto,two-door car,2419.306466,70.0,1.0,336.0
6296,oregon,north west,male,doctor,36631.0,personal auto,four-door car,2491.317024,62.0,0.0,67.530904
6297,arizona,central,male,high school or below,0.0,corporate auto,suv,9657.579498,131.0,0.0,628.8
6298,california,west region,female,college,26477.0,personal auto,four-door car,2621.116054,66.0,0.0,144.987956
6299,oregon,north west,female,high school or below,53607.0,personal auto,four-door car,4944.088762,61.0,0.0,93.891207
6300,arizona,central,male,college,21594.0,personal auto,four-door car,5206.761563,71.0,3.0,340.8
6301,oregon,north west,female,bachelor,0.0,personal auto,four-door car,6109.135438,85.0,0.0,612.0
6302,nevada,central,female,high school or below,80584.0,personal auto,two-door car,2601.468833,65.0,0.0,312.0
6303,oregon,north west,female,bachelor,67511.0,personal auto,four-door car,5849.486464,73.0,0.0,350.4
6304,oregon,north west,female,master,19614.0,special auto,two-door car,16301.9676,85.0,0.0,574.024018
6305,arizona,central,female,bachelor,0.0,corporate auto,four-door car,26462.75908,82.0,2.0,511.320391
6306,nevada,central,male,bachelor,20346.0,corporate auto,two-door car,26199.52707,74.0,0.0,358.643521
6307,arizona,central,male,college,48638.0,personal auto,four-door car,6470.535463,82.0,0.0,183.104441
6308,oregon,north west,female,college,46855.0,personal auto,suv,9501.005425,119.0,0.0,472.391125
6309,arizona,central,female,college,38873.0,personal auto,two-door car,10970.13221,92.0,0.0,599.811172
6310,nevada,central,female,doctor,25703.0,personal auto,four-door car,2435.619979,62.0,0.0,297.6
6311,washington,east,male,college,58842.0,corporate auto,four-door car,4362.931238,110.0,0.0,528.0
6312,california,west region,female,master,99772.0,corporate auto,suv,19231.77266,158.0,0.0,51.902587
6313,arizona,central,male,high school or below,19683.0,personal auto,sports car,8382.630118,117.0,1.0,561.6
6314,washington,east,male,high school or below,34549.0,personal auto,four-door car,4434.411172,111.0,0.0,125.933005
6315,nevada,central,female,high school or below,19030.0,corporate auto,two-door car,2372.155492,62.0,0.0,355.820799
6316,washington,east,male,college,63329.0,personal auto,four-door car,3611.183505,92.0,0.0,441.6
6317,arizona,central,male,high school or below,79253.0,corporate auto,two-door car,3034.797717,76.0,0.0,254.984946
6318,california,west region,male,college,37937.0,personal auto,suv,9095.049868,116.0,0.0,556.8
6319,oregon,north west,female,high school or below,21766.0,corporate auto,four-door car,4884.15708,62.0,0.0,179.14181
6320,arizona,central,male,high school or below,67132.0,corporate auto,four-door car,5681.307056,71.0,0.0,466.371705
6321,arizona,central,male,college,0.0,personal auto,two-door car,2458.562965,71.0,1.0,511.2
6322,washington,east,female,high school or below,33060.0,personal auto,four-door car,9357.737821,117.0,0.0,56.731578
6323,arizona,central,male,bachelor,92296.0,corporate auto,two-door car,2759.978287,69.0,0.0,331.2
6324,oregon,north west,male,doctor,90334.0,corporate auto,suv,9635.58373,119.0,0.0,423.785148
6325,oregon,north west,male,college,40105.0,personal auto,four-door car,8346.019875,104.0,0.0,878.413622
6326,oregon,north west,female,bachelor,33409.0,personal auto,suv,8370.56545,105.0,0.0,553.553427
6327,california,west region,female,college,0.0,personal auto,two-door car,12689.42804,117.0,1.0,1163.669865
6328,california,west region,male,bachelor,18608.0,special auto,four-door car,2538.62632,71.0,0.0,340.8
6329,california,west region,male,high school or below,55385.0,personal auto,four-door car,4732.219556,61.0,0.0,292.8
6330,oregon,north west,male,master,62588.0,special auto,four-door car,8246.830811,104.0,0.0,499.2
6331,oregon,north west,female,college,22050.0,personal auto,four-door car,2548.393565,66.0,0.0,316.8
6332,oregon,north west,male,bachelor,25632.0,personal auto,two-door car,4929.549699,63.0,0.0,351.270869
6333,oregon,north west,male,college,40097.0,personal auto,two-door car,3289.120863,92.0,4.0,227.221652
6334,nevada,central,female,college,50071.0,personal auto,two-door car,2771.045031,71.0,0.0,18.918935
6335,arizona,central,male,high school or below,37308.0,personal auto,four-door car,6899.709949,86.0,0.0,301.011106
6336,arizona,central,male,college,44743.0,personal auto,suv,5112.306584,137.0,4.0,741.300032
6337,washington,east,male,bachelor,86657.0,personal auto,sports car,4109.793608,103.0,0.0,316.227946
6338,washington,east,male,high school or below,84306.0,personal auto,suv,27440.61101,137.0,0.0,863.413385
6339,california,west region,female,college,0.0,personal auto,suv,20957.60504,118.0,0.0,566.4
6340,california,west region,male,bachelor,47346.0,personal auto,four-door car,2548.842787,65.0,0.0,312.0
6341,nevada,central,male,bachelor,88545.0,personal auto,four-door car,2714.654446,68.0,0.0,374.108319
6342,california,west region,female,bachelor,52443.0,corporate auto,four-door car,5790.462518,73.0,1.0,350.4
6343,oregon,north west,female,bachelor,36084.0,corporate auto,two-door car,7627.31479,99.0,1.0,152.779038
6344,arizona,central,female,master,35406.0,corporate auto,four-door car,7903.993374,69.0,4.0,67.504452
6345,oregon,north west,female,high school or below,0.0,personal auto,four-door car,5293.717318,74.0,0.0,712.126586
6346,california,west region,male,bachelor,41185.0,special auto,four-door car,3673.990748,99.0,4.0,363.613596
6347,california,west region,male,high school or below,51204.0,personal auto,sports car,21592.10096,181.0,0.0,929.554445
6348,oregon,north west,female,college,30216.0,corporate auto,four-door car,2452.059049,63.0,0.0,302.4
6349,california,west region,male,college,10710.0,personal auto,two-door car,7255.714453,94.0,0.0,451.2
6350,arizona,central,male,college,0.0,personal auto,four-door car,7412.962014,112.0,0.0,806.4
6351,nevada,central,male,high school or below,0.0,personal auto,sports car,9048.983447,119.0,0.0,571.2
6352,oregon,north west,male,college,0.0,corporate auto,suv,4270.034394,122.0,0.0,725.870693
6353,oregon,north west,male,bachelor,25632.0,personal auto,two-door car,4929.549699,63.0,0.0,351.270869
6354,oregon,north west,female,high school or below,0.0,personal auto,four-door car,3539.97159,99.0,0.0,1158.858027
6355,oregon,north west,female,college,53295.0,personal auto,four-door car,5568.889245,70.0,0.0,250.423844
6356,oregon,north west,male,high school or below,0.0,personal auto,sports car,9817.026936,139.0,0.0,1000.8
6357,oregon,north west,female,college,37072.0,personal auto,four-door car,2542.845763,64.0,0.0,307.2
6358,washington,east,female,college,61108.0,personal auto,four-door car,10484.91535,89.0,0.0,49.451117
6359,california,west region,male,high school or below,79880.0,personal auto,two-door car,6310.400194,79.0,1.0,568.8
6360,washington,east,male,master,81580.0,personal auto,suv,8106.221539,101.0,0.0,633.439417
6361,arizona,central,female,high school or below,0.0,personal auto,two-door car,3398.007367,92.0,0.0,611.844584
6362,arizona,central,female,master,19614.0,personal auto,two-door car,16301.9676,85.0,0.0,574.024018
6363,california,west region,male,high school or below,58620.0,personal auto,two-door car,2722.408776,68.0,0.0,292.135884
6364,california,west region,female,high school or below,0.0,personal auto,luxury suv,15789.65496,212.0,0.0,1526.4
6365,arizona,central,female,college,12902.0,personal auto,sports car,4904.894731,139.0,0.0,667.2
6366,oregon,north west,female,bachelor,26318.0,personal auto,two-door car,3785.754787,96.0,0.0,679.392372
6367,oregon,north west,male,bachelor,20263.0,personal auto,four-door car,4200.818894,63.0,0.0,373.454457
6368,oregon,north west,female,bachelor,0.0,personal auto,four-door car,3619.060986,98.0,0.0,310.842085
6369,arizona,central,male,college,52819.0,personal auto,suv,4880.713626,124.0,0.0,282.500791
6370,oregon,north west,female,college,63918.0,personal auto,four-door car,12687.15484,64.0,0.0,307.2
6371,oregon,north west,female,college,0.0,personal auto,four-door car,4848.90183,66.0,0.0,316.8
6372,oregon,north west,female,bachelor,23904.0,corporate auto,suv,4334.064096,123.0,3.0,590.4
6373,oregon,north west,male,college,0.0,personal auto,two-door car,6677.418103,97.0,1.0,251.63901
6374,arizona,central,female,master,69736.0,personal auto,suv,8973.110905,111.0,0.0,424.424732
6375,california,west region,male,bachelor,69700.0,personal auto,suv,7109.296548,181.0,0.0,645.921338
6376,arizona,central,female,college,35482.0,personal auto,suv,10208.92761,129.0,0.0,619.2
6377,arizona,central,female,college,14030.0,corporate auto,two-door car,2719.506996,72.0,0.0,345.6
6378,california,west region,female,bachelor,50909.0,personal auto,suv,4465.604359,112.0,0.0,339.048157
6379,arizona,central,female,bachelor,96406.0,personal auto,two-door car,5593.434009,69.0,0.0,331.2
6380,oregon,north west,female,bachelor,77001.0,special auto,four-door car,6768.997027,85.0,0.0,408.0
6381,oregon,north west,female,bachelor,0.0,personal auto,two-door car,2454.589361,72.0,0.0,518.4
6382,california,west region,male,bachelor,24732.0,corporate auto,four-door car,2576.380679,67.0,0.0,321.6
6383,oregon,north west,female,college,40864.0,personal auto,suv,4282.947971,109.0,1.0,166.937747
6384,california,west region,female,bachelor,43145.0,corporate auto,two-door car,5845.426201,73.0,0.0,516.421124
6385,oregon,north west,female,college,61108.0,corporate auto,four-door car,10484.91535,89.0,0.0,49.451117
6386,california,west region,male,bachelor,34236.0,corporate auto,four-door car,5509.377781,70.0,0.0,336.0
6387,arizona,central,male,college,39010.0,personal auto,four-door car,3011.344686,78.0,2.0,374.4
6388,california,west region,male,high school or below,88867.0,personal auto,four-door car,2698.355517,69.0,1.0,331.2
6389,california,west region,male,bachelor,0.0,personal auto,four-door car,6105.801637,84.0,0.0,395.740207
6390,washington,east,male,high school or below,13908.0,corporate auto,suv,8558.038795,116.0,2.0,804.130779
6391,washington,east,male,high school or below,0.0,personal auto,two-door car,5568.947534,79.0,1.0,407.440238
6392,oregon,north west,female,college,0.0,personal auto,four-door car,11042.29006,64.0,0.0,415.803174
6393,california,west region,male,bachelor,76358.0,personal auto,four-door car,23594.6802,66.0,0.0,86.461582
6394,oregon,north west,female,bachelor,13037.0,personal auto,suv,4726.869327,124.0,0.0,839.348464
6395,arizona,central,female,master,17200.0,personal auto,four-door car,6054.488387,83.0,4.0,48.780064
6396,washington,east,male,bachelor,67772.0,personal auto,four-door car,9654.523307,82.0,0.0,502.580472
6397,oregon,north west,male,high school or below,39891.0,personal auto,suv,47155.62558,133.0,0.0,630.888663
6398,washington,east,female,doctor,52957.0,personal auto,sports car,4530.385427,112.0,0.0,425.423198
6399,oregon,north west,female,college,0.0,corporate auto,sports car,7276.340609,108.0,2.0,777.6
6400,oregon,north west,female,college,93272.0,personal auto,four-door car,3861.486269,95.0,0.0,281.110788
6401,arizona,central,male,high school or below,0.0,personal auto,luxury suv,7054.776317,207.0,0.0,1490.4
6402,california,west region,male,master,40467.0,personal auto,luxury suv,15167.04402,197.0,3.0,518.78464
6403,oregon,north west,male,bachelor,30895.0,personal auto,four-door car,7126.471703,62.0,0.0,297.6
6404,oregon,north west,male,bachelor,0.0,personal auto,four-door car,2034.993043,62.0,2.0,446.4
6405,oregon,north west,female,bachelor,90607.0,special auto,suv,30718.8124,109.0,0.0,243.467617
6406,oregon,north west,male,high school or below,0.0,personal auto,four-door car,4221.312544,62.0,0.0,614.081483
6407,arizona,central,female,college,45668.0,personal auto,four-door car,9701.027271,80.0,0.0,344.767795
6408,california,west region,female,high school or below,0.0,personal auto,suv,4502.867562,129.0,0.0,1486.410662
6409,california,west region,female,bachelor,51643.0,corporate auto,luxury car,11009.13049,283.0,0.0,1358.4
6410,california,west region,female,college,0.0,personal auto,four-door car,2713.560376,74.0,0.0,299.635989
6411,california,west region,male,college,0.0,personal auto,suv,22103.5072,102.0,0.0,489.6
6412,oregon,north west,male,college,90289.0,personal auto,four-door car,5633.531703,71.0,1.0,22.193348
6413,oregon,north west,male,bachelor,29465.0,personal auto,suv,4237.370769,118.0,1.0,566.4
6414,oregon,north west,male,bachelor,81893.0,corporate auto,four-door car,2858.287371,73.0,3.0,151.381353
6415,nevada,central,male,high school or below,60613.0,personal auto,luxury car,9366.816281,240.0,0.0,1152.0
6416,arizona,central,female,high school or below,60423.0,personal auto,four-door car,9152.489511,114.0,0.0,137.611531
6417,oregon,north west,male,bachelor,27166.0,personal auto,four-door car,5406.876611,71.0,0.0,340.8
6418,nevada,central,female,high school or below,0.0,personal auto,luxury suv,7086.176012,196.0,0.0,1644.690622
6419,washington,east,female,college,0.0,special auto,suv,17288.55405,158.0,0.0,758.4
6420,washington,east,female,high school or below,62006.0,personal auto,four-door car,2472.253893,61.0,0.0,292.8
6421,oregon,north west,female,high school or below,0.0,personal auto,four-door car,2432.169223,69.0,0.0,764.201478
6422,california,west region,female,college,13663.0,corporate auto,four-door car,25464.82059,97.0,0.0,465.6
6423,california,west region,male,high school or below,0.0,personal auto,four-door car,2229.361773,61.0,0.0,292.8
6424,arizona,central,male,doctor,97673.0,personal auto,four-door car,2507.884662,63.0,0.0,178.762806
6425,nevada,central,female,high school or below,96276.0,personal auto,four-door car,9500.08167,117.0,0.0,553.50361
6426,washington,east,female,high school or below,73847.0,personal auto,two-door car,2935.988346,73.0,1.0,350.4
6427,california,west region,male,high school or below,24976.0,personal auto,two-door car,5493.02213,72.0,1.0,566.199335
6428,california,west region,female,college,33716.0,personal auto,four-door car,5386.325174,68.0,1.0,349.431986
6429,arizona,central,female,college,23480.0,personal auto,suv,4384.854616,117.0,0.0,842.4
6430,oregon,north west,female,doctor,77221.0,personal auto,four-door car,5789.8509,71.0,0.0,259.591385
6431,nevada,central,female,bachelor,0.0,personal auto,four-door car,5678.050167,76.0,0.0,364.8
6432,arizona,central,male,master,40463.0,personal auto,four-door car,4944.240345,61.0,0.0,292.8
6433,nevada,central,male,college,60920.0,personal auto,two-door car,7507.455372,64.0,0.0,231.201886
6434,arizona,central,female,doctor,68931.0,special auto,four-door car,5332.462694,66.0,0.0,309.577946
6435,oregon,north west,female,bachelor,88251.0,personal auto,four-door car,5475.337618,68.0,0.0,267.214383
6436,oregon,north west,female,college,0.0,corporate auto,two-door car,2274.647023,65.0,0.0,468.0
6437,washington,east,male,high school or below,26876.0,corporate auto,four-door car,6005.214792,76.0,0.0,364.8
6438,washington,east,male,college,88592.0,corporate auto,four-door car,18321.41903,76.0,0.0,199.79727
6439,california,west region,female,bachelor,0.0,personal auto,four-door car,8078.53085,114.0,1.0,547.2
6440,arizona,central,male,high school or below,0.0,personal auto,suv,3664.22055,103.0,0.0,642.773149
6441,arizona,central,female,high school or below,0.0,personal auto,four-door car,2960.029328,82.0,0.0,590.4
6442,arizona,central,male,bachelor,49136.0,personal auto,four-door car,2496.167004,64.0,0.0,307.2
6443,oregon,north west,male,college,0.0,personal auto,two-door car,4650.68277,68.0,0.0,722.877299
6444,nevada,central,male,college,67627.0,corporate auto,suv,14002.37819,117.0,0.0,561.6
6445,california,west region,female,college,70263.0,personal auto,two-door car,7462.926263,93.0,0.0,7.345946
6446,arizona,central,female,college,74126.0,corporate auto,two-door car,3653.703458,90.0,0.0,478.751065
6447,california,west region,female,high school or below,74286.0,personal auto,two-door car,5638.543833,70.0,0.0,277.585067
6448,oregon,north west,female,high school or below,97949.0,personal auto,suv,4475.05212,112.0,3.0,324.812083
6449,california,west region,male,bachelor,41005.0,personal auto,four-door car,2719.853023,70.0,0.0,336.0
6450,arizona,central,male,high school or below,29875.0,corporate auto,sports car,4542.405346,119.0,1.0,571.2
6451,arizona,central,male,bachelor,26121.0,personal auto,suv,12875.59874,119.0,0.0,754.115474
6452,oregon,north west,male,bachelor,25905.0,corporate auto,four-door car,2300.691547,63.0,0.0,302.4
6453,california,west region,male,college,72117.0,personal auto,four-door car,8364.559003,70.0,0.0,106.737787
6454,oregon,north west,female,high school or below,81872.0,corporate auto,four-door car,14024.35839,115.0,0.0,256.43803
6455,oregon,north west,female,bachelor,33806.0,corporate auto,four-door car,27789.69235,89.0,0.0,395.729716
6456,california,west region,male,college,0.0,personal auto,suv,3588.926491,106.0,0.0,763.2
6457,california,west region,male,college,10621.0,personal auto,four-door car,4386.277558,67.0,0.0,321.6
6458,oregon,north west,female,bachelor,0.0,personal auto,four-door car,6647.846187,65.0,0.0,312.0
6459,oregon,north west,female,college,44213.0,personal auto,four-door car,6753.428413,85.0,0.0,77.523904
6460,california,west region,male,bachelor,0.0,personal auto,four-door car,4762.823136,65.0,0.0,366.212945
6461,nevada,central,female,college,12902.0,corporate auto,sports car,4904.894731,139.0,0.0,667.2
6462,oregon,north west,male,high school or below,78757.0,personal auto,sports car,4764.861739,119.0,3.0,383.797363
6463,oregon,north west,male,bachelor,0.0,personal auto,suv,3567.503755,102.0,0.0,660.430456
6464,oregon,north west,male,high school or below,51833.0,personal auto,four-door car,3903.802262,99.0,0.0,190.509609
6465,california,west region,female,high school or below,30786.0,personal auto,four-door car,10442.43404,90.0,0.0,28.649762
6466,california,west region,male,bachelor,76792.0,personal auto,four-door car,2498.963061,62.0,0.0,297.6
6467,california,west region,female,bachelor,76356.0,personal auto,two-door car,2862.563059,71.0,2.0,340.8
6468,california,west region,male,college,66839.0,personal auto,sports car,5989.773931,154.0,0.0,739.2
6469,oregon,north west,male,high school or below,59789.0,personal auto,four-door car,7143.035873,90.0,0.0,527.539078
6470,washington,east,male,bachelor,72217.0,personal auto,four-door car,2549.786069,64.0,0.0,91.146661
6471,california,west region,female,bachelor,43324.0,corporate auto,two-door car,12047.775,101.0,0.0,284.667612
6472,oregon,north west,male,bachelor,87502.0,personal auto,four-door car,20461.1545,102.0,0.0,421.111226
6473,california,west region,female,high school or below,0.0,personal auto,four-door car,2781.589027,74.0,0.0,532.8
6474,arizona,central,female,college,38713.0,personal auto,four-door car,4834.710493,66.0,4.0,316.8
6475,washington,east,male,high school or below,51878.0,personal auto,four-door car,7610.540153,66.0,1.0,316.8
6476,arizona,central,male,college,0.0,personal auto,four-door car,2159.251473,61.0,0.0,292.8
6477,california,west region,male,college,28617.0,personal auto,suv,8420.43119,112.0,0.0,797.595611
6478,california,west region,female,doctor,75037.0,personal auto,four-door car,13530.02906,85.0,2.0,180.555113
6479,oregon,north west,female,bachelor,24550.0,personal auto,four-door car,8798.312515,111.0,0.0,536.00374
6480,arizona,central,female,bachelor,0.0,personal auto,two-door car,4595.043966,64.0,0.0,460.8
6481,california,west region,male,high school or below,55366.0,personal auto,four-door car,6545.802896,86.0,2.0,455.714395
6482,nevada,central,female,high school or below,41449.0,personal auto,two-door car,5443.761524,69.0,1.0,331.2
6483,california,west region,male,high school or below,51125.0,personal auto,four-door car,7957.630101,67.0,0.0,430.29174
6484,arizona,central,male,college,0.0,personal auto,four-door car,2444.741307,71.0,1.0,244.587596
6485,washington,east,female,bachelor,63110.0,personal auto,four-door car,8590.334983,72.0,0.0,68.179721
6486,oregon,north west,female,college,63401.0,personal auto,four-door car,2730.3538,68.0,0.0,202.938048
6487,oregon,north west,female,college,30752.0,personal auto,four-door car,2925.726685,73.0,0.0,400.294003
6488,california,west region,male,high school or below,60986.0,corporate auto,four-door car,5331.737284,67.0,0.0,417.781693
6489,arizona,central,male,college,41692.0,corporate auto,four-door car,11320.82704,101.0,1.0,245.968629
6490,oregon,north west,male,master,12940.0,personal auto,two-door car,5130.823951,68.0,0.0,268.1726
6491,washington,east,male,master,0.0,personal auto,four-door car,7919.832069,70.0,0.0,336.0
6492,oregon,north west,male,bachelor,78618.0,personal auto,two-door car,2619.337376,66.0,0.0,225.578841
6493,california,west region,male,college,54538.0,personal auto,four-door car,9591.232645,119.0,0.0,507.799325
6494,nevada,central,male,high school or below,0.0,personal auto,two-door car,4196.652176,64.0,1.0,774.737185
6495,arizona,central,female,high school or below,76590.0,personal auto,four-door car,7887.964945,65.0,0.0,183.293091
6496,oregon,north west,male,high school or below,76214.0,special auto,four-door car,8676.698631,72.0,0.0,202.81373
6497,california,west region,female,college,0.0,personal auto,luxury suv,6383.611136,196.0,2.0,2327.166394
6498,arizona,central,female,high school or below,25876.0,personal auto,two-door car,6568.75877,83.0,0.0,398.4
6499,nevada,central,female,high school or below,82477.0,personal auto,two-door car,3644.833554,90.0,0.0,432.0
6500,arizona,central,female,bachelor,58713.0,special auto,four-door car,3910.697956,98.0,0.0,470.4
6501,arizona,central,male,bachelor,64929.0,corporate auto,luxury suv,18704.85055,240.0,3.0,1261.672708
6502,california,west region,male,high school or below,0.0,personal auto,four-door car,24337.38181,85.0,1.0,612.0
6503,nevada,central,male,high school or below,32857.0,corporate auto,four-door car,12547.42888,105.0,0.0,504.0
6504,nevada,central,male,college,19065.0,personal auto,two-door car,4582.685265,61.0,0.0,292.8
6505,washington,east,female,bachelor,0.0,personal auto,two-door car,2864.093984,83.0,0.0,825.29011
6506,california,west region,male,high school or below,25503.0,personal auto,suv,30850.58677,115.0,0.0,552.0
6507,arizona,central,male,high school or below,30250.0,personal auto,four-door car,7366.093547,93.0,0.0,398.100233
6508,oregon,north west,male,bachelor,0.0,personal auto,four-door car,4224.832303,63.0,0.0,453.6
6509,california,west region,female,bachelor,62902.0,personal auto,two-door car,8256.2978,69.0,0.0,159.383042
6510,oregon,north west,female,master,0.0,personal auto,four-door car,7498.824515,66.0,0.0,316.8
6511,arizona,central,female,doctor,14278.0,personal auto,sports car,25626.70699,134.0,0.0,346.319404
6512,nevada,central,male,college,66839.0,personal auto,sports car,5989.773931,154.0,0.0,739.2
6513,arizona,central,female,college,37811.0,special auto,four-door car,2530.810167,63.0,0.0,365.002909
6514,arizona,central,male,high school or below,20978.0,personal auto,two-door car,13569.24071,70.0,0.0,336.0
6515,california,west region,female,college,28519.0,personal auto,two-door car,13113.13865,86.0,0.0,412.8
6516,california,west region,male,college,0.0,personal auto,four-door car,5085.023369,72.0,1.0,571.531582
6517,nevada,central,female,master,85140.0,personal auto,suv,4554.557242,118.0,4.0,88.17994
6518,oregon,north west,female,doctor,37384.0,personal auto,four-door car,4014.453113,99.0,0.0,475.2
6519,oregon,north west,male,bachelor,0.0,personal auto,two-door car,2863.043304,79.0,0.0,168.89233
6520,nevada,central,female,college,0.0,corporate auto,four-door car,7200.664877,66.0,0.0,316.8
6521,oregon,north west,male,high school or below,57659.0,personal auto,four-door car,30909.22228,111.0,0.0,756.37287
6522,oregon,north west,female,bachelor,95241.0,personal auto,four-door car,8170.621997,68.0,1.0,87.803087
6523,arizona,central,male,college,38870.0,special auto,four-door car,2877.813846,74.0,0.0,145.365072
6524,california,west region,female,high school or below,13870.0,personal auto,suv,8478.30421,109.0,0.0,550.430985
6525,arizona,central,male,bachelor,25964.0,corporate auto,four-door car,8646.547993,76.0,2.0,364.8
6526,california,west region,female,high school or below,72193.0,personal auto,four-door car,4755.762589,118.0,0.0,552.646907
6527,washington,east,male,college,84302.0,personal auto,four-door car,7425.845305,62.0,0.0,76.609295
6528,nevada,central,female,bachelor,0.0,personal auto,two-door car,4462.997006,73.0,3.0,350.4
6529,washington,east,female,high school or below,0.0,personal auto,four-door car,2593.897887,72.0,0.0,345.6
6530,oregon,north west,male,college,39482.0,corporate auto,four-door car,6006.441801,77.0,0.0,277.907701
